year,type_of_violence,Region,best_est,latitude,longitude,date_start,date_end,event_clarity
2014,1,Luhansk oblast,2,48.933333,38.5,20/07/2014,22/07/2014,1
2014,1,Luhansk oblast,4,48.910332,38.422454,23/07/2014,23/07/2014,1
2014,1,Donetsk oblast,7,48,37.805278,12/07/2014,12/07/2014,1
2014,1,Donetsk oblast,12,48.3,38.05,27/07/2014,27/07/2014,1
2014,1,Donetsk oblast,3,47.922986,38.740539,26/07/2014,26/07/2014,1
2014,1,Donetsk oblast,17,48.3,38.05,28/07/2014,28/07/2014,1
2014,1,Luhansk oblast,5,48.566667,39.3,28/07/2014,28/07/2014,1
2014,1,Donetsk oblast,4,48.127778,37.8625,28/07/2014,29/07/2014,1
2014,1,Donetsk oblast,10,47.951526,38.86556,29/07/2014,29/07/2014,1
2014,1,Donetsk oblast,2,48,37.805278,29/07/2014,29/07/2014,1
2014,1,Luhansk oblast,3,48.566667,39.3,30/07/2014,31/07/2014,1
2014,1,Luhansk oblast,62,48.566667,39.3,05/05/2014,31/07/2014,2
2014,1,Donetsk oblast,22,48.046944,38.468611,31/07/2014,31/07/2014,1
2014,1,Donetsk oblast,1,48,37.805278,31/07/2014,01/08/2014,1
2014,1,Luhansk oblast,5,48.566667,39.3,31/07/2014,01/08/2014,1
2014,1,Luhansk oblast,3,48.566667,39.3,02/08/2014,03/08/2014,1
2014,1,Donetsk oblast,6,47.94542,37.617341,02/08/2014,03/08/2014,1
2014,1,Donetsk oblast,2,48,37.805278,02/08/2014,02/08/2014,1
2014,1,Luhansk oblast,2,48.6333,38.5167,02/08/2014,02/08/2014,1
2014,1,Donetsk oblast,0,48.14,37.74,01/07/2014,03/08/2014,2
2014,1,Donetsk oblast,0,47.933,38.936,05/08/2014,05/08/2014,1
2014,1,Donetsk oblast,2,48,37.805278,05/08/2014,05/08/2014,1
2014,1,Donetsk oblast,1,48,37.805278,05/08/2014,06/08/2014,1
2014,1,Donetsk oblast,3,48,37.805278,06/08/2014,07/08/2014,1
2014,1,Donetsk oblast,1,48,37.805278,07/08/2014,07/08/2014,1
2014,1,Donetsk oblast,1,48,37.805278,10/08/2014,10/08/2014,1
2014,1,Donetsk oblast,12,47.92,37.68,12/08/2014,13/08/2014,1
2014,1,Donetsk oblast,3,48,37.805278,13/08/2014,13/08/2014,1
2014,1,Donetsk oblast,1,47.8787,38.06,14/08/2014,14/08/2014,1
2014,1,Donetsk oblast,38,48,37.805278,12/08/2014,14/08/2014,2
2014,1,Donetsk oblast,11,48,37.805278,14/08/2014,14/08/2014,1
2014,1,Donetsk oblast,10,48,37.805278,16/08/2014,17/08/2014,1
2014,1,Luhansk oblast,24,48.495,39.5,18/08/2014,18/08/2014,1
2014,1,Luhansk oblast,200,48.6333,38.5167,22/07/2014,17/08/2014,2
2014,1,Donetsk oblast,5,48.3,38.05,27/07/2014,10/08/2014,2
2014,1,Luhansk oblast,208,48.92,39.02,04/05/2014,17/08/2014,2
2014,1,Donetsk oblast,165,48.14,37.74,12/04/2014,17/08/2014,2
2014,1,Donetsk oblast,43,48,37.805278,19/08/2014,20/08/2014,1
2014,1,Donetsk oblast,1,47.926,38.194,19/08/2014,19/08/2014,1
2014,1,Donetsk oblast,12,48,37.805278,18/08/2014,20/08/2014,1
2014,1,Donetsk oblast,26,48,37.805278,19/08/2014,21/08/2014,1
2014,1,Luhansk oblast,2,48.92,39.02,20/08/2014,21/08/2014,1
2014,1,Donetsk oblast,2,47.8787,38.06,20/08/2014,21/08/2014,1
2014,1,Luhansk oblast,4,48.85,39.845,25/08/2014,25/08/2014,1
2014,1,Donetsk oblast,3,48,37.805278,25/08/2014,26/08/2014,1
2014,1,Donetsk oblast,200,47.926,38.194,25/08/2014,02/09/2014,2
2014,1,Donetsk oblast,15,48,37.805278,28/08/2014,28/08/2014,1
2014,1,Donetsk oblast,100,48.028278,38.765611,13/08/2014,13/08/2014,1
2014,1,Donetsk oblast,5,47.095833,37.549444,01/09/2014,01/09/2014,1
2014,1,Donetsk oblast,1,48.216667,38.2,02/09/2014,03/09/2014,1
2014,1,Donetsk oblast,1,48,37.805278,02/09/2014,03/09/2014,1
2014,1,Donetsk oblast,1,48.028278,38.765611,06/08/2014,06/08/2014,1
2014,1,Donetsk oblast,1,48,37.805278,04/09/2014,04/09/2014,1
2014,1,Donetsk oblast,5,48,37.805278,04/09/2014,05/09/2014,1
2014,1,Donetsk oblast,1,47.095833,37.549444,06/09/2014,06/09/2014,1
2014,1,Donetsk oblast,6,48,37.805278,14/09/2014,14/09/2014,1
2014,1,Donetsk oblast,3,48,37.805278,16/09/2014,16/09/2014,1
2014,1,Donetsk oblast,1,48.083333,38.066667,16/09/2014,16/09/2014,1
2014,1,Donetsk oblast,1,47.095833,37.549444,16/09/2014,16/09/2014,1
2014,1,Donetsk oblast,2,48,37.805278,17/09/2014,17/09/2014,1
2014,1,Donetsk oblast,10,48.113883,38.160326,17/09/2014,17/09/2014,1
2014,1,Donetsk oblast,1,48.075,37.725556,18/09/2014,18/09/2014,1
2014,1,Donetsk oblast,1,48,37.805278,18/09/2014,19/09/2014,1
