Year,Region,Exports (USD),Exports % to Prev Year,Exports % of total,Imports (USD),Imports % to Prev Year,Imports % of total,Balance
2014,Zaporizhzhya,3730223.70,101.40,6.90,1582361.40,89.90,2.90,2147862.30
2014,Ivano-Frankivsk,487793.80,103.40,0.90,481926.90,83.30,0.90,5866.90
2014,Kyiv,1852294.60,93.90,3.40,3759061.50,79.40,6.90,-1906766.90
2014,Kirovohrad,820663.00,95.70,1.50,201744.20,83.10,0.40,618918.80
2014,Luhansk,1902640.30,53.70,3.50,1017230.10,55.00,1.90,885410.20
2014,Lviv,1305077.70,101.10,2.40,2472001.50,93.10,4.50,-1166923.80
2014,Mykolayiv,1837492.10,84.50,3.40,631269.20,68.00,1.20,1206222.90
2014,Odesa,1780071.20,109.30,3.30,2078630.60,60.50,3.80,-298559.40
2014,Poltava,2124454.20,80.00,3.90,1096895.60,98.70,2.00,1027558.60
2014,Rivne,473273.10,98.10,0.90,283053.70,86.30,0.50,190219.40
2014,Sumy,738541.20,79.90,1.40,553190.90,85.70,1.00,185350.30
2014,Ternopil,358973.90,98.30,0.70,303686.30,86.80,0.60,55287.60
2014,Kharkiv,1821052.10,91.60,3.40,1888819.20,82.80,3.50,-67767.10
2014,Kherson,359947.50,97.50,0.70,186302.90,67.80,0.30,173644.60
2014,Khmelnytskiy,506309.10,103.60,0.90,346950.30,71.60,0.60,159358.80
2014,Cherkasy,624208.20,81.00,1.20,416283.00,83.70,0.80,207925.20
2014,Chernivtsi,129218.20,103.10,0.20,111517.90,70.50,0.20,17700.30
2014,Chernihiv,699999.40,126.10,1.30,528657.60,90.20,1.00,171341.80
2014,Kyiv,11469613.00,93.00,21.30,20179903.70,75.60,37.10,-8710290.70
2015,Ukraine,38127149.70,70.70,100.00,37516443.02,68.90,100.00,610706.70
2015,Vinnytsya,846856.00,114.10,2.20,266668.60,62.30,0.70,580187.40
2015,Volyn,631693.70,92.20,1.70,622087.50,81.30,1.70,9606.20
2015,Dnipropetrovsk,6398976.40,73.00,16.80,3225259.10,69.60,8.60,3173717.30
2015,Donetsk,3695324.40,44.00,9.70,1202633.40,56.70,3.20,2492691.00
2015,Zhytomyr,441318.70,66.40,1.20,246377.70,86.20,0.70,194941.00
2015,Zakarpattya,1094379.60,79.10,2.90,1011507.00,58.30,2.70,82872.60
2015,Zaporizhzhya,2931027.40,78.60,7.70,1085450.60,68.60,2.90,1845576.80
2015,Ivano-Frankivsk,373000.40,76.50,1.00,294496.80,61.10,0.80,78503.60
2015,Kyiv,1690436.60,91.30,4.40,2587043.90,68.80,6.90,-896607.30
2015,Kirovohrad,406551.90,49.50,1.10,105420.50,52.30,0.30,301131.40
2015,Luhansk,257771.80,13.60,0.70,318426.20,31.30,0.80,-60654.40
2015,Lviv,1206324.80,92.40,3.20,1447944.90,58.60,3.90,-241620.10
2015,Mykolayiv,1603063.60,87.20,4.20,574741.10,91.10,1.50,1028322.50
2015,Odesa,1727480.40,97.10,4.50,967276.00,46.50,2.60,760204.40
2015,Poltava,1481082.00,69.70,3.90,814488.80,74.30,2.20,666593.20
2015,Rivne,378286.50,79.90,1.00,202338.50,71.50,0.50,175948.00
2015,Sumy,606604.70,82.10,1.60,403547.90,73.00,1.10,203056.80
2015,Ternopil,290982.80,81.10,0.80,259432.70,85.40,0.70,31550.10
2015,Kharkiv,1311586.90,72.00,3.40,1284945.90,68.00,3.40,26641.00
2015,Kherson,238440.00,66.20,0.60,140901.50,75.60,0.40,97538.50
2015,Khmelnytskiy,401620.90,79.30,1.10,259270.40,74.70,0.70,142350.50
2015,Cherkasy,434189.90,69.60,1.10,228094.40,54.80,0.60,206095.50
2015,Chernivtsi,108294.50,83.80,0.30,78384.10,70.30,0.20,29910.40
2015,Chernihiv,551601.70,78.80,1.40,379972.40,71.90,1.00,171629.30
2015,Kyiv city,8742884.20,76.20,22.90,14495410.90,71.80,38.60,-5752526.70
2016,Ukraine,36361711.20,95.40,100.00,39249797.22,104.60,100.00,-2888086.00
2016,Vinnytsya,982955.80,116.10,2.70,299390.40,112.30,0.80,683565.40
2016,Volyn,611874.20,96.90,1.70,1130757.20,181.80,2.90,-518883.00
2016,Dnipropetrovsk,5864832.50,91.70,16.10,3443565.60,106.80,8.80,2421266.90
2016,Donetsk,3430783.80,92.80,9.40,1110777.20,92.40,2.80,2320006.60
2016,Zhytomyr,484674.80,109.80,1.30,336693.00,136.70,0.90,147981.80
2016,Zakarpattya,1211902.40,110.70,3.30,1133380.90,112.10,2.90,78521.50
2016,Zaporizhzhya,2292804.60,78.20,6.30,998432.00,92.00,2.50,1294372.60
2016,Ivano-Frankivsk,573736.50,153.80,1.60,405969.70,137.90,1.00,167766.80
2016,Kyiv,1705127.20,100.90,4.70,2951643.40,114.10,7.50,-1246516.20
2016,Kirovohrad,427431.40,105.10,1.20,183997.80,174.50,0.50,243433.60
2016,Luhansk,435726.50,169.00,1.20,357396.10,112.20,0.90,78330.40
2016,Lviv,1275566.10,105.70,3.50,1699411.80,117.40,4.30,-423845.70
2016,Mykolayiv,1666363.10,104.00,4.60,685781.50,119.30,1.70,980581.60
2016,Odesa,1520473.90,88.00,4.20,1231360.60,127.30,3.10,289113.30
2016,Poltava,1436045.00,97.00,3.90,842723.60,103.50,2.10,593321.40
2016,Rivne,318252.00,84.10,0.90,254974.30,126.00,0.60,63277.70
2016,Sumy,542240.00,89.40,1.50,436915.60,108.30,1.10,105324.40
2016,Ternopil,294260.90,101.10,0.80,274896.30,106.00,0.70,19364.60
2016,Kharkiv,1027843.00,78.40,2.80,1489451.20,115.90,3.80,-461608.20
2016,Kherson,246567.00,103.40,0.70,166342.00,118.10,0.40,80225.00
2016,Khmelnytskiy,318695.50,79.40,0.90,331906.50,128.00,0.80,-13211.00
2016,Cherkasy,474333.10,109.30,1.30,291226.20,127.70,0.70,183106.90
2016,Chernivtsi,119319.10,110.20,0.30,95758.40,122.20,0.20,23560.70
2016,Chernihiv,432794.50,78.50,1.20,473944.10,124.70,1.20,-41149.60
2016,Kyiv city,8568787.00,98.00,23.60,16136956.90,111.30,41.10,-7568169.90
2017,Ukraine,43264736.00,119.00,100.00,49607173.92,126.40,100.00,966342437.90
2017,Vinnytsya,1217714.00,123.90,2.80,407075.50,136.00,0.80,810638.50
2017,Volyn,689287.70,112.70,1.60,1334974.00,118.10,2.70,96645686.30
2017,Dnipropetrovsk,7052759.50,120.30,16.30,4609551.30,133.90,9.30,2443208.20
2017,Donetsk,4432600.20,129.20,10.20,2033912.30,183.10,4.10,2398687.90
2017,Zhytomyr,589727.30,121.70,1.40,449904.40,133.60,0.90,139822.90
2017,Zakarpattya,1446423.20,119.40,3.30,1341735.60,118.40,2.70,104687.60
2017,Zaporizhzhya,2980860.60,130.00,6.90,1328178.10,133.00,2.70,1652682.50
2017,Ivano-Frankivsk,665400.50,116.00,1.50,637204.40,157.00,1.30,28196.10
2017,Kyiv,1748405.80,102.50,4.00,3404074.60,115.30,6.90,961655668.80
2017,Kirovohrad,415614.80,97.20,1.00,236115.00,128.30,0.50,179499.80
2017,Luhansk,233904.70,53.70,0.50,273151.60,76.40,0.60,9639246.90
2017,Lviv,1585154.10,124.30,3.70,2180388.20,128.30,4.40,96595234.10
2017,Mykolayiv,1900646.20,114.10,4.40,781715.60,114.00,1.60,1118930.60
2017,Odesa,1813852.20,119.30,4.20,1427930.80,116.00,2.90,385921.40
2017,Poltava,1864524.10,129.80,4.30,1149719.40,136.40,2.30,714804.70
2017,Rivne,383300.60,120.40,0.90,341245.30,133.80,0.70,42055.30
2017,Sumy,672733.30,124.10,1.60,551131.30,126.10,1.10,121602.00
2017,Ternopil,380193.70,129.20,0.90,351695.20,127.90,0.70,28498.50
2017,Kharkiv,1191537.10,115.90,2.80,1619368.90,108.70,3.30,96427831.80
2017,Kherson,289153.30,117.30,0.70,201428.00,121.10,0.40,87725.30
2017,Khmelnytskiy,467642.20,146.70,1.10,414264.30,124.80,0.80,53377.90
2017,Cherkasy,617781.30,130.20,1.40,403227.50,138.50,0.80,214553.80
2017,Chernivtsi,149780.60,125.50,0.30,113196.80,118.20,0.20,36583.80
2017,Chernihiv ,625068.70,144.40,1.40,445058.40,93.90,0.90,180010.30
2017,Kyiv,9738299.20,113.70,22.50,19848604.50,123.00,40.00,9610110305.30
2019,Ukraine,50054605.80,105.70,100.00,60800173.12,106.30,100.00,9610745567.30
2019,Vinnytsya,1455291.30,101.80,2.90,631638.30,112.20,1.00,823653.00
2019,Volyn,694002.30,96.40,1.40,1455943.00,106.40,2.40,96761940.70
2019,Dnipropetrovsk,7907150.30,102.40,15.80,5522187.70,104.90,9.10,2384962.60
2019,Donetsk,4631582.60,95.60,9.30,2224441.90,99.00,3.70,2407140.70
2019,Zhytomyr,719034.60,108.60,1.40,568590.40,106.90,0.90,150444.20
2019,Zakarpattya,1489957.90,89.80,3.00,1471227.20,97.10,2.40,18730.70
2019,Zaporizhzhya,3080637.80,91.20,6.20,1529754.40,86.80,2.50,1550883.40
2019,Ivano96Frankivsk,911442.70,104.60,1.80,831778.50,99.80,1.40,79664.20
2019,Kyiv,1948367.60,105.00,3.90,4112295.70,112.90,6.80,962163928.10
2019,Kirovohrad,707025.40,135.50,1.40,250126.20,95.10,0.40,456899.20
2019,Luhansk,152851.10,75.30,0.30,252961.30,88.80,0.40,96100110.20
2019,Lviv,2202053.50,116.20,4.40,3087739.00,114.10,5.10,96885685.50
2019,Mykolayiv,2152519.20,101.90,4.30,988468.50,133.60,1.60,1164050.70
2019,Odesa,1384102.90,83.00,2.80,1881084.20,121.60,3.10,96496981.30
2019,Poltava,2102409.20,110.30,4.20,1360177.20,100.10,2.20,742232.00
